price,feasible,subscribers,rate_mbps,revenue,price_bounds_ok,fixed_point_residual,rate_identity_error,revenue_identity_error,max_acceptance_column_error,acceptance_prob_bounds_ok
7.5,True,1280.1702080110426,7.811461270870115,9601.27656008282,True,2.2737367544323206e-13,0.0,0.0,0.0,True
7.6000000000000005,True,1276.711463609781,7.832623333486756,9703.007123434336,True,3.0240698833949864e-11,0.0,0.0,0.0,True
7.7,True,1272.8155965148194,7.856597630781444,9800.68009316411,True,1.7325874068774283e-10,0.0,0.0,0.0,True
7.800000000000001,True,1268.4590471485924,7.883581281145263,9893.980567759021,True,5.670699465554208e-10,0.0,0.0,0.0,True
7.9,True,1263.621872605849,7.913759817545684,9982.612793586208,True,1.546140993013978e-09,0.0,0.0,0.0,True
8.0,True,1258.2882203446231,7.9473047894076085,10066.305762756985,True,3.6914116208208725e-09,0.0,0.0,0.0,True
8.1,True,1252.4466610570628,7.984371958451322,10144.817954562208,True,7.850076144677587e-09,0.0,0.0,0.0,True
8.200000000000001,True,1246.0903705931485,8.025100133981393,10217.941038863819,True,1.5038267520139925e-08,0.0,0.0,0.0,True
8.3,True,1239.21716177004,8.069610644930437,10285.502442691333,True,2.6140696718357503e-08,0.0,0.0,0.0,True
8.4,True,1231.8293767289094,8.118007403391156,10347.36676452284,True,-3.6310439099906944e-08,0.0,0.0,0.0,True
8.5,True,1223.9336577057552,8.17037748495686,10403.436090498919,True,-1.8693754100240767e-08,0.0,0.0,0.0,True
8.6,True,1215.5406203889333,8.226792122175503,10453.649335344826,True,-6.139089236967266e-11,0.0,0.0,0.0,True
8.700000000000001,True,1206.6644542105491,8.287308012683958,10497.98075163178,True,0.0,0.0,0.0,0.0,True
8.8,True,1197.3224759449927,8.351968831210197,10536.437788315936,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
8.9,True,1187.5346599623872,8.420806850653713,10569.058473665247,True,0.0,0.0,0.0,0.0,True
9.0,True,1177.3231654494705,8.493844590395252,10595.908489045234,True,0.0,0.0,0.0,0.0,True
9.1,True,1166.7118772128433,8.5710964251851,10617.078082636874,True,-4.870798875344917e-09,0.0,0.0,0.0,True
9.200000000000001,True,1155.7259725561946,8.652570105249383,10632.678947516992,True,-1.908097146952059e-08,0.0,0.0,0.0,True
9.3,True,1144.391522925869,8.738268153571228,10642.841163210582,True,-2.8682507036137395e-08,0.0,0.0,0.0,True
9.4,True,1132.735135685625,8.828189119380651,10647.710275444875,True,-3.886952981702052e-08,0.0,0.0,0.0,True
9.5,True,1120.7836383838164,8.922328679262414,10647.444564646255,True,4.008938958577346e-08,0.0,0.0,0.0,True
9.600000000000001,True,1108.5638062023788,9.0206805815329,10642.212539542837,True,3.5678795029525645e-08,0.0,0.0,0.0,True
9.700000000000001,True,1096.1021303573402,9.123237445711286,10632.190664466201,True,3.6403434933163226e-08,0.0,0.0,0.0,True
9.8,True,1083.4246260861366,9.229991417238617,10617.561335644139,True,4.24631707574008e-08,0.0,0.0,0.0,True
9.9,True,1070.556676215006,9.340934695167546,10598.51109452856,True,-3.7404561226139776e-08,0.0,0.0,0.0,True
10.0,True,1057.5229067308687,9.456059945701886,10575.229067308686,True,-2.6081579562742263e-08,0.0,0.0,0.0,True
10.100000000000001,True,1044.3470913891267,9.57536060803177,10547.905623030181,True,-1.5569867173326202e-08,0.0,0.0,0.0,True
10.200000000000001,True,1031.0520806178154,9.69883111433897,10516.731222301718,True,-7.644757715752348e-09,0.0,0.0,0.0,True
10.3,True,1017.6597520479346,9.826467028764808,10481.895446093728,True,-2.856609171431046e-09,0.0,0.0,0.0,True
10.4,True,1004.1909791235513,9.958265118780401,10443.586182884934,True,-6.717755240970291e-10,0.0,0.0,0.0,True
