capacity_leased_mbps,nM,nV,valid,interval_contains,pV_formula_error,pM_root_residual,revenue_identity_error
825.0,185.6495149941195,1814.3504850058805,True,True,0.0,-3.440163709456101e-10,0.0
830.0,184.27516257535103,1815.724837424649,True,True,0.0,-1.6370904631912708e-11,0.0
835.0,182.6929865287159,1817.307013471284,True,True,0.0,2.1575715436483733e-08,0.0
840.0,180.87303055710709,1819.126969442893,True,True,0.0,-2.5238705347874202e-08,0.0
845.0,178.78720551962124,1821.2127944803788,True,True,0.0,1.1004885891452432e-10,0.0
850.0,176.40741870084435,1823.5925812991557,True,True,0.0,5.5706550483591855e-11,0.0
855.0,173.71492987354486,1826.2850701264551,True,True,0.0,-2.0691004465334117e-10,0.0
860.0,170.69661045073804,1829.303389549262,True,True,0.0,2.2737367544323206e-13,0.0
865.0,167.3468158127805,1832.6531841872195,True,True,0.0,5.229594535194337e-12,1.8189894035458565e-12
870.0,163.6673866015176,1836.3326133984824,True,True,0.0,-1.0550138540565968e-09,0.0
875.0,159.67513580018908,1840.324864199811,True,True,0.0,3.7061909097246826e-11,0.0
880.0,155.38313605618077,1844.6168639438192,True,True,0.0,2.6347152015659958e-08,0.0
885.0,150.81194847887036,1849.1880515211296,True,True,0.0,3.374225343577564e-10,0.0
890.0,145.98588055011828,1854.0141194498817,True,True,0.0,5.850324669154361e-10,0.0
895.0,140.92737157341298,1859.072628426587,True,True,0.0,0.0,0.0
900.0,135.65512054230362,1864.3448794576964,True,True,0.0,2.3881739252828993e-08,0.0
905.0,130.1878291222538,1869.8121708777462,True,True,0.0,-1.318767317570746e-11,0.0
910.0,124.54232971908459,1875.4576702809154,True,True,0.0,2.1827872842550278e-11,0.0
915.0,118.73171319246103,1881.268286807539,True,True,0.0,4.4643456931225955e-08,0.0
920.0,112.77094422455639,1887.2290557754436,True,True,0.0,-7.867129170335829e-11,-1.8189894035458565e-12
925.0,106.66750128540048,1893.3324987145995,True,True,0.0,2.5011104298755527e-12,0.0
930.0,100.43073601887818,1899.5692639811218,True,True,0.0,0.0,0.0
935.0,94.0662569882711,1905.933743011729,True,True,0.0,7.398739398922771e-10,-1.8189894035458565e-12
940.0,87.58154577644996,1912.41845422355,True,True,0.0,-6.821210263296962e-13,1.8189894035458565e-12
945.0,80.97846810109195,1919.021531898908,True,True,0.0,3.825334715656936e-09,-1.8189894035458565e-12
950.0,74.25888998554456,1925.7411100144554,True,True,0.0,2.4111159291351214e-08,0.0
955.0,67.42842255612095,1932.571577443879,True,True,0.0,-1.1368683772161603e-11,-1.8189894035458565e-12
960.0,60.48331539428432,1939.5166846057157,True,True,0.0,2.921979103120975e-09,0.0
965.0,53.42169021512473,1946.5783097848753,True,True,0.0,1.8305854609934613e-09,0.0
970.0,46.24541371582336,1953.7545862841766,True,True,0.0,0.0,0.0
975.0,38.946989770375694,1961.0530102296243,True,True,0.0,8.185452315956354e-12,0.0
980.0,31.51892145018428,1968.4810785498157,True,True,0.0,5.866240826435387e-11,0.0
985.0,23.94996557749687,1976.0500344225031,True,True,0.0,2.355432116019074e-08,1.8189894035458565e-12
990.0,16.22138663676037,1983.7786133632396,True,True,0.0,5.71094460610766e-09,9.094947017729282e-13
995.0,10.0,1990.0,True,True,0.0,4.547473508864641e-13,9.094947017729282e-13
1000.0,,,False,False,,,
